lemma;raw_count;freq_per_100_lemmas
rõõmus;15;0.077
hunnik;15;0.077
teadlik;15;0.077
ettepanek;15;0.077
tervitama;15;0.077
tempo;15;0.077
meeldiv;15;0.077
suhtumine;15;0.077
tegija;15;0.077
nõmme;15;0.077
pidevalt;15;0.077
vajutama;15;0.077
sügavam;15;0.077
reaalsus;15;0.077
osapool;15;0.077
peegel;15;0.077
raudselt;15;0.077
suunas;15;0.077
narva;15;0.077
etv;15;0.077
andrus;15;0.077
legend;15;0.077
rubriik;15;0.077
kuum;15;0.077
selgitama;15;0.077
valetama;15;0.077
vihm;15;0.077
viin;15;0.077
kraabits;15;0.077
jobska;15;0.077
uuendus;15;0.077
flaier;15;0.077
päikseline;15;0.077
madis;14;0.072
mööduma;14;0.072
tütar;14;0.072
hoolima;14;0.072
kohustus;14;0.072
aspekt;14;0.072
lavakunstikool;14;0.072
pekk;14;0.072
saksamaa;14;0.072
mõiste;14;0.072
järeldus;14;0.072
praktika;14;0.072
to;14;0.072
suhtlemine;14;0.072
kodanik;14;0.072
uni;14;0.072
otsene;14;0.072
vestlema;14;0.072
buum;14;0.072
kinkima;14;0.072
sünnipäev;14;0.072
katki;14;0.072
põlv;14;0.072
arenenud;14;0.072
rikas;14;0.072
siga;14;0.072
perekond;14;0.072
imestama;14;0.072
saavutama;14;0.072
ronima;14;0.072
eok;14;0.072
eeskuju;14;0.072
jaht;14;0.072
sada;14;0.072
kippuma;14;0.072
anett;14;0.072
piisama;14;0.072
kinnisvaraturg;14;0.072
arendaja;14;0.072
sektor;14;0.072
suhtuma;14;0.072
kirik;14;0.072
laulja;14;0.072
mõõtma;14;0.072
le;14;0.072
tehnoloogia;14;0.072
ni;14;0.072
martin;14;0.072
of;14;0.072
katsetama;14;0.072
produktsioon;14;0.072
lusikas;14;0.072
harjumus;14;0.072
li;14;0.072
puhkama;14;0.072
spetsiifiline;14;0.072
arvatavasti;14;0.072
suurepärane;14;0.072
läpaka;14;0.072
pind;14;0.072
prantsusmaa;14;0.072
paus;14;0.072
madalam;14;0.072
füüsiliselt;14;0.072
kergelt;14;0.072
homne;14;0.072
puhkus;14;0.072
davai;14;0.072
normaalselt;14;0.072
mui;14;0.072
suruma;14;0.072
